,Price,Address,City,bed,bath,SQFT
144,"$700,000",8110RichardKingTRL,AustinTX78749,2,2,"2,760sq.ft"
145,"$700,000",9905BrandywineCIR,AustinTX78750,2,2,"2,762sq.ft"
146,"$700,000",6201BackBayLN,AustinTX78739,3,3,"2,971sq.ft"
147,"$700,000",1176OakGroveAve,AustinTX78702,3,3,"3,000sq.ft"
148,"$700,000",105MelodyST,LakewayTX78734,2,2,"3,013sq.ft"
149,"$700,000",109BrisaBendWAY,RoundRockTX78681,3,3,"3,159sq.ft"
150,"$700,000",8603SeaAshCIR,RoundRockTX78681,3,3,"3,408sq.ft"
151,"$699,990",8008ParkdaleDR,AustinTX78757,2,2,"1,627sq.ft"
152,"$699,900",1202NorthSt,AustinTX78756,2,2,"1,366sq.ft"
153,"$699,900",11601BellAve,AustinTX78759,2,2,"1,625sq.ft"
154,"$699,900",4305MalagaDR,AustinTX78759,2,2,"2,011sq.ft"
155,"$699,900",6210LanghamST,AustinTX78741,3,3,"2,516sq.ft"
156,"$699,900",3309ThomasKincheonST,AustinTX78745,,,"3,040sq.ft"
157,"$699,900",4904BigTrailCIR,AustinTX78759,2,2,"3,364sq.ft"
158,"$699,899",4225PasadaLN,RoundRockTX78681,2,2,"2,507sq.ft"
159,"$699,000",2007GardenSTB,AustinTX78702,2,2,868sq.ft
160,"$650,000",7201BreezyPassCV,AustinTX78749,2,2,"2,615sq.ft"
161,"$650,000",9503WoodshireDR,AustinTX78748,2,2,"2,760sq.ft"
162,"$650,000",17029CapriIsleLN,AustinTX78717,3,3,"2,897sq.ft"
163,"$650,000",11516ReadingWAY,AustinTX78717,2,2,"2,906sq.ft"
164,"$650,000",3904DerbyCV,RoundRockTX78681,2,2,"3,022sq.ft"
165,"$650,000",1429HargisCreekTRL,AustinTX78717,2,2,"3,670sq.ft"
166,"$650,000",1907HearthstoneDR,AustinTX78757,,,"4,050sq.ft"
167,"$650,000",1909HearthstoneDR,AustinTX78757,,,"4,050sq.ft"
168,"$649,999",15800PearsonBrothersDR,AustinTX78717,3,3,"2,745sq.ft"
169,"$649,900",1400SalemMeadowCIR,AustinTX78745,2,2,"1,958sq.ft"
170,"$649,900",6616LlanoStageTRL,AustinTX78738,3,3,"2,350sq.ft"
171,"$649,900",3112FoxHollowST,RoundRockTX78681,3,3,"2,724sq.ft"
172,"$649,117",4411HannoverWAY,RoundRockTX78681,3,3,"2,299sq.ft"
173,"$649,000",2006PennsylvaniaAveB,AustinTX78702,2,2,"1,301sq.ft"
174,"$649,000",2802CrestAveA,AustinTX78702,2,2,"1,704sq.ft"
175,"$649,000",8704MelshireDR,AustinTX78757,2,2,"1,906sq.ft"
176,"$649,000",6018AbileneTRL,AustinTX78749,2,2,"2,348sq.ft"
177,"$648,300",2608HilltopST,RoundRockTX78681,2,2,"2,043sq.ft"
178,"$645,067",4415HannoverWAY,RoundRockTX78681,2,2,"2,181sq.ft"
179,"$644,935",4413VaughanSTE,AustinTX78723,2,2,"1,601sq.ft"
180,"$599,000",9301McknightLOOP2,AustinTX78717,2,2,"1,976sq.ft"
181,"$599,000",5405ManorRD,AustinTX78723,2,2,"2,006sq.ft"
182,"$599,000",225TheHillsDr2,TheHillsTX78738,2,2,"2,086sq.ft"
183,"$599,000",7124BoyleDR,AustinTX78724,2,2,"2,193sq.ft"
